,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,SIDO,GUNGU,GENDER,AGE_GRP,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_PRIORITY,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,DGSTFN
0,DMZ 장단콩두부마을,7.0,경기,파주시,0,40,1,2,4,5,3,5,2,6,1,7,3.0,5.0
1,파주프리미엄아울렛,4.0,경기,파주시,0,40,1,2,4,5,3,5,2,6,1,7,3.0,4.0
2,한국근현대사박물관,2.0,경기,파주시,0,40,1,2,4,5,3,5,2,6,1,7,3.0,3.0
3,벨라시타,4.0,경기,고양시,0,40,3,6,5,4,4,5,5,5,5,5,6.0,4.0
4,이케아 고양점,4.0,경기,고양시,0,40,3,6,5,4,4,5,5,5,5,5,6.0,3.0
5,지혜의숲,3.0,경기,파주시,0,40,3,6,5,4,4,5,5,5,5,5,6.0,4.0
6,수도국산 달동네박물관,2.0,인천,동구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,5.0
7,인천내리교회,2.0,인천,중구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,5.0
8,부평문화의거리,4.0,인천,부평구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,4.0
9,인천배다리헌책방거리,4.0,인천,동구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,4.0
10,인천개항장 근대건축전시관,3.0,인천,중구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,5.0
11,송월동동화마을,7.0,인천,중구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,5.0
12,송도한옥마을,7.0,인천,연수구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,5.0
13,월미전통정원,1.0,인천,중구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,5.0
14,신포국제시장,4.0,인천,중구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,4.0
15,월미산,1.0,인천,중구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,5.0
16,월미공원 전망대,1.0,인천,중구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,5.0
17,송도센트럴파크,7.0,인천,연수구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,5.0
18,송도센트럴파크,7.0,인천,연수구,1,60,0,13,4,1,2,2,4,4,4,3,7.0,5.0
19,행주산성,2.0,경기,고양시,0,40,0,1,2,5,2,6,3,3,2,6,1.0,4.0
20,코스트코 하남점,4.0,경기,하남시,1,30,1,1,4,3,5,2,3,5,2,5,1.0,4.0
21,미사리조정경기장체육여가공원,5.0,경기,하남시,1,30,1,1,4,3,5,2,3,5,2,5,1.0,4.0
22,다이소 용인동천점,4.0,경기,용인시,1,30,1,4,1,2,1,4,7,2,3,6,3.0,5.0
23,쁘띠프랑스,6.0,경기,가평군,1,30,1,9,2,1,3,4,1,2,6,3,3.0,5.0
24,현대프리미엄아울렛 스페이스원,4.0,경기,남양주시,1,30,1,9,2,1,3,4,1,2,6,3,3.0,5.0
25,자라섬,8.0,경기,가평군,1,30,1,9,2,1,3,4,1,2,6,3,3.0,5.0
